Flight Number,Outgoing Flight,Incoming Flight,Departure Date,Departure time,Flight time,Estimated Arrival Time,# of Seats,,,,,,,,,,,,,,,,,,,,
UA670,DAL,SEA,9/16/2022,13:01:00,2h35m,16:35:00,150,,,,,,,,,,,,,,,,,,,,
SW540,ELP,LAX,9/17/2022,0:05:00,5h,17:00:00,100,,,,,,,,,,,,,,,,,,,,
SW587,ELP,LAX,7/26/2022,8:00:00,5h,13:00:00,100,,,,,,,,,,,,,,,,,,,,
AA110,DCA,BOS,6/30/2022,6:00:00,7h20m,13:20:00,120,,,,,,,,,,,,,,,,,,,,
AK719,SEA,FAI,12/20/2022,9:30:00,12h10m,21:40:00,149,,,,,,,,,,,,,,,,,,,,
SW940,ABI,ACA,11/5/2022,19:00:00,3h40m,22:40:00,200,,,,,,,,,,,,,,,,,,,,
AA420,LEI,APN,8/4/2022,8:00:00,8h40m,16:40:00,250,,,,,,,,,,,,,,,,,,,,
BA890,JFK,LON,10/22/2022,14:30:00,9h35m,0:35:00,250,,,,,,,,,,,,,,,,,,,,
AC1040,DEN,YYZ,10/15/2022,16:00:00,2h58m,21:00:00,175,,,,,,,,,,,,,,,,,,,,
QA996,IAD,DOH,10/7/2022,6:00:00,7h15m,13:15:00,540,,,,,,,,,,,,,,,,,,,,
UA760,ELP,DEN,12/5/2022,7:00:00,1h30m,8:30:00,120,,,,,,,,,,,,,,,,,,,,
AM337,HOU,CAN,11/26/2022,15:30:00,2h52m,18:20:00,150,,,,,,,,,,,,,,,,,,,,
LU840,DEN,BER,6/23/2022,18:00:00,12h33m,2:30:00,250,,,,,,,,,,,,,,,,,,,,
AA514,CLT,CAN,8/20/2022,12:00:00,4h50m,16:50:00,100,,,,,,,,,,,,,,,,,,,,
JB418,MIA,IST,9/10/2022,14:00:00,8h22m,22:22:00,140,,,,,,,,,,,,,,,,,,,,
SW774,SEA,PHX,7/14/2022,6:00:00,3h01m,9:01:00,300,,,,,,,,,,,,,,,,,,,,
EM997,XIY,DXB,8/12/2022,8:00:00,11h18m,,240,,,,,,,,,,,,,,,,,,,,
KL338,CDG,AMS,10/4/2022,8:30:00,,,200,,,,,,,,,,,,,,,,,,,,
BA312,SFO,MAD,9/10/2022,9:00:00,,,200,,,,,,,,,,,,,,,,,,,,
UA800,DFW,DEN,10/12/2022,4:00:00,,,250,,,,,,,,,,,,,,,,,,,,
DL124,CLT,LAX,9/23/2022,15:00:00,,,100,,,,,,,,,,,,,,,,,,,,
SP443,MCO,LAS,9/30/2022,16:15:00,,,250,,,,,,,,,,,,,,,,,,,,
DL646,PHX ,MIA,6/11/2022,15:45:00,,,230,,,,,,,,,,,,,,,,,,,,
AM180,CKG,MEX,7/27/2022,22:00:00,,,150,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
